,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC
Default,0.6097560975609756,0.07229778095919828,0.5174427090935629,0.0020100502512562816,0.002987622705932565,0.002238292011019284,0.5317567033140869,0.15338090383961944,0.820943245403677,0.0008654886404615939,0.2444733420026008,0.0,0.34208185053380785,0.796468323709097,0.36930754834684965,0.0,0.421195652173913,0.8511727078891258,0.529500756429652,0.0,0.0,0.32311415893505446,0.007203054094936253,0.5230667422953299,0.9222929936305733,0.3040215147914191,0.5744155346420815,0.0,0.28772667133629076,0.143758329631275,0.3848069738480697,0.00031826861871419476,0.0,0.017191516709511568,0.31,0.11854460093896714,0.020228384991843394,0.00021668472372697725,0.0,0.0,0.4001416886713467,0.06096897114861187,0.6434540389972145,0.0,0.16733019664615756,0.0,0.3935212957408518,0.6259855189058728,0.09063260340632603,0.0,0.1285171102661597,0.573394495412844,0.19366681964203764,0.0,0.0,0.16028955532574973,0.0,0.38426509059199687,0.9600515463917526,0.11715574363828721,0.5330377696308296,0.0,0.20883372289836383,0.0030218783996131997,0.2040520984081042,0.0,0.0,0.013702945345723735,0.1111111111111111,,,0.0,,0.2625,0.0,0.0,,0.0,,,0.0,,0.18461538461538463,0.0,0.0,
Dorsal_Attention,0.0,0.0,0.14786162603999417,0.0,0.0,0.1397210743801653,0.16554615202088113,0.3141692150866463,0.0,0.04067796610169491,0.0,0.0,0.0,0.08025776215582894,0.023705552089831567,0.0,0.00038819875776397513,0.0,0.0,0.0,0.09917188446778429,0.0,0.20867247713030324,0.11193042162979769,0.0,0.0,0.06941191500234212,0.5738270469181233,0.0,0.16952465570857397,0.0,0.0,0.0,0.0,0.0,0.0,0.12936378466557913,0.0,0.0,0.08615537848605578,0.18580537128872288,0.3455815641444384,0.0,0.019993222636394442,0.0,0.0,0.0,0.10675784392598552,0.0,0.0,0.14093789607097593,0.0,0.0,0.0,0.03267422232939474,0.0,0.22115837388165124,0.22459064044181765,0.0,0.0,0.04761701764856339,0.6645937542246857,0.0,0.17889520125710143,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0125,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
Frontoparietal,0.0,0.3249821045096636,0.33469566486644287,0.0,0.0,0.0,0.18468717867594717,0.18776758409785932,0.06914468425259793,0.0,0.1418607400401939,0.0,0.0,0.039417524479035904,0.0,0.0,0.3361801242236025,0.1488272921108742,0.3918305597579425,0.0,0.0069682892344980814,0.2335619201290843,0.038320247785060865,0.11580639062204576,0.026114649681528664,0.49371442866971044,0.1082911042030405,0.03311867525298988,0.0,0.1736117281208352,0.0,0.0,0.0,0.08274421593830335,0.0,0.29694835680751175,0.8504078303425775,0.0004333694474539545,0.0,0.0,0.30901011141881884,0.1252948648158229,0.08873855949064863,0.0,0.20593557727108217,0.0,0.0,0.1573612228479485,0.0,0.0,0.33510773130544996,0.42169069462647446,0.541532813217072,0.0,0.0,0.3012754222681834,0.009888557526291007,0.15793043309756807,0.030927835051546393,0.7505985856673534,0.18040753687441385,0.009936460727321888,0.0,0.12280913816028043,0.0,0.0,0.0,0.06552212946920775,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,
Limbic,0.0,0.0,0.0,0.0,0.9970123772940674,0.3760330578512397,0.0,0.3238871899422358,0.0,0.0,0.5865941600662017,0.0,0.6579181494661922,0.015315089128797388,0.11540860885839052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05159235668789809,0.054037150540996934,0.0,0.0,0.1607907230134641,0.0,0.6151930261519303,0.9996817313812858,0.0,0.022975578406169667,0.0,0.0,0.0,0.0,1.0,0.3341633466135458,0.0,0.45581564144438397,0.0,0.0,0.6116539992761492,0.0,0.6064787042591482,0.0497184231697506,0.2737226277372263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00902061855670103,0.0569630825769809,0.0010231051240514964,0.0,0.12525187394212944,0.0,0.7959479015918958,1.0,0.0,0.01606552212946921,0.0,,,0.05555555555555555,,0.33125,1.0,1.0,,0.0,,,0.140625,,0.2692307692307692,1.0,1.0,
Somatomotor,0.25130662020905925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006695120930621809,0.0,0.8965231788079471,0.0,0.0,0.0,0.0,0.8889113310442335,0.09156918112141993,0.5819347403298999,0.019757988277557193,0.0,0.0,0.09257760933441213,0.10847899417356639,0.4594910109736166,0.14055975122167924,0.0,0.0,1.0,0.18316195372750643,0.2775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888633754305396,0.0,0.0,0.0,0.0,0.9424885459368219,0.09824198552223372,0.5707110343745095,0.01569615347350063,0.0,0.0,0.053713019012703554,0.09808030282546978,0.5829773514951238,0.16946694065030823,0.0,0.0,1.0,0.22302724838557253,0.0,,,0.1111111111111111,,0.0,0.0,0.0,,0.0,,,0.0625,,0.0,0.0,0.0,
Ventral_Attention,0.13893728222996515,0.6027201145311382,0.0,0.0,0.0,0.0,0.00015819030293443012,0.0,0.0,0.0,0.027071757891003665,0.0,0.0,0.0678717884341786,0.0,0.10347682119205298,0.2422360248447205,0.0,0.07866868381240545,0.0,0.004948495253484145,0.35175473981444133,0.16386948065979975,0.09935715636226129,0.0,0.14822690599787353,0.15530383681812374,0.0,0.09199159467662853,0.3725455353176366,0.0,0.0,0.0,0.693926735218509,0.4125,0.5845070422535211,0.0,0.0,0.0,0.0,0.005474335029303793,0.0,0.0,0.0,0.01508022680661117,0.0,0.0,0.06009654062751408,0.0,0.11113662456946038,0.39543726235741444,0.0049148099606815205,0.26480036714089034,0.0,0.02483723173378346,0.44019303688383316,0.19824203421754827,0.05803701191744986,0.0,0.07528258811737848,0.18420155170943814,0.0,0.082937051664383,0.5258068415326967,0.0,0.0,0.0,0.6816821546700268,0.0,,,0.8333333333333334,,0.0,0.0,0.0,,0.0,,,0.796875,,0.0,0.0,0.0,
Visual,0.0,0.0,0.0,0.9979899497487437,0.0,0.48200757575757575,0.11785177568615043,0.020795107033639144,0.10991207034372502,0.9584565452578435,0.0,1.0,0.0,0.0,0.49157829070492826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.13008130081300814,0.0,0.0,0.0,0.2845752836553205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993499458288191,0.0,0.5796812749003984,0.09956849359180782,0.012338958446742878,0.2678074015121369,0.9800067773636055,0.0,1.0,0.0,8.045052292839903e-05,0.6356447688564477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1594806704776669,0.0,0.0,0.0,0.22738948222252264,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,,,0.0,,0.39375,0.0,0.0,,1.0,,,0.0,,0.5461538461538461,0.0,0.0,
